Dataline,Play,ActSceneLine,PlayerLine,split,modern_line_v1,modern_line_final,method,annotator_id,reviewer_id,status,quality_score,confidence,context_window,reference_source,notes,last_updated_utc,row_type,ambiguity_flag,alignment_status,reject_reason
5996,Henry VI Part 1,5.4.100,"Betwixt our nation and the aspiring French,",train,"Betwixt our nation and the aspiring French,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Moved with remorse of these outrageous broils, || Have earnestly implored a general peace || Betwixt our nation and the aspiring French, || And here at hand the Dauphin and his train || Approacheth, to confer about some matter.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=4|line=100,fallback_mode=true | unresolved_lexicon:betwixt,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:betwixt
6039,Henry VI Part 1,5.4.142,And therein reverenced for their lawful king:,train,And therein reverenced for their lawful king:,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"'Tis known already that I am possess'd || With more than half the Gallian territories, || And therein reverenced for their lawful king: || Shall I, for lucre of the rest unvanquish'd, || Detract so much from that prerogative,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=5|scene=4|line=142,fallback_mode=true | unresolved_lexicon:therein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:therein
6195,Henry VI Part 2,1.1.4,"To marry Princess Margaret for your grace,",train,"To marry Princess Margaret for your grace,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"I had in charge at my depart for France, || As procurator to your excellence, || To marry Princess Margaret for your grace, || So, in the famous ancient city, Tours, || In presence of the Kings of France and Sicil,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=1|line=4,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
6229,Henry VI Part 2,1.1.38,happiness!,train,happiness!,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Such is the fulness of my heart's content. || Lords, with one cheerful voice welcome my love. || happiness! || We thank you all. || My lord protector, so it please your grace,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=1|line=38,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
6553,Henry VI Part 2,1.2.88,"Marry, and shall. But how now, Sir John Hume!",train,"Marry, and shall. But how now, Sir John Hume!",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"With thy confederates in this weighty cause. || Hume must make merry with the duchess' gold, || Marry, and shall. But how now, Sir John Hume! || Seal up your lips, and give no words but mum: || The business asketh silent secrecy.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=2|line=88,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
6579,Henry VI Part 2,1.3.4,"Marry, the Lord protect him, for he's a good man!",train,"Marry, the Lord protect him, for he's a good man!",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"will come this way by and by, and then we may deliver || our supplications in the quill. || Marry, the Lord protect him, for he's a good man! || Jesu bless him! || Here a' comes, methinks, and the queen with him.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=3|line=4,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
6588,Henry VI Part 2,1.3.12,protector.,train,protector.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"How now, fellow! would'st anything with me? || I pray, my lord, pardon me, I took ye for my lord || protector. || supplications to his lordship? Let me see them: || what is thine?",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=3|line=12,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
6606,Henry VI Part 2,1.3.29,"That my master was? no, forsooth: my master said",train,"That my master was? no, forsooth: my master said",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"What sayst thou? did the Duke of York say he was || rightful heir to the crown? || That my master was? no, forsooth: my master said || that he was, and that the king was an usurper. || Who is there?",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=3|line=29,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
6695,Henry VI Part 2,1.3.113,"Because the king, forsooth, will have it so.",train,"Because the king, forsooth, will have it so.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Peace, son! and show some reason, Buckingham, || Why Somerset should be preferred in this. || Because the king, forsooth, will have it so. || Madam, the king is old enough himself || To give his censure: these are no women's matters.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=3|line=113,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
6789,Henry VI Part 2,1.3.201,accusation.,train,accusation.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"witness of this: therefore I beseech your majesty, || do not cast away an honest man for a villain's || accusation. || Uncle, what shall we say to this in law? || This doom, my lord, if I may judge:",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=3|line=201,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
6837,Henry VI Part 2,1.4.24,Adsum.,train,Adsum.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"We will make fast within a hallow'd verge. || Here they do the ceremonies belonging, and make the circle, BOLINGBROKE or SOUTHWELL reads, Conjuro te, and c. It thunders and lightens terribly, then the Spirit riseth || Adsum. || Asmath, || By the eternal God, whose name and power",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=4|line=24,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
6838,Henry VI Part 2,1.4.25,"Asmath,",train,"Asmath,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Here they do the ceremonies belonging, and make the circle, BOLINGBROKE or SOUTHWELL reads, Conjuro te, and c. It thunders and lightens terribly, then the Spirit riseth || Adsum. || Asmath, || By the eternal God, whose name and power || Thou tremblest at, answer that I shall ask,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=1|scene=4|line=25,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
6943,Henry VI Part 2,2.1.34,"I prithee, peace, good queen,",train,"I prithee, peace, good queen,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Why, Suffolk, England knows thine insolence. || And thy ambition, Gloucester. || I prithee, peace, good queen, || And whet not on these furious peers, || For blessed are the peacemakers on earth.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=1|line=34,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
6983,Henry VI Part 2,2.1.71,"Forsooth, a blind man at Saint Alban's shrine,",train,"Forsooth, a blind man at Saint Alban's shrine,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"A miracle! a miracle! || Come to the king and tell him what miracle. || Forsooth, a blind man at Saint Alban's shrine, || Within this half-hour, hath received his sight, || A man that ne'er saw in his life before.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=1|line=71,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
7015,Henry VI Part 2,2.1.102,"Most true, forsooth, and many time and oft",train,"Most true, forsooth, and many time and oft",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"By good Saint Alban, who said, 'Simpcox, come, || Come, offer at my shrine, and I will help thee.' || Most true, forsooth, and many time and oft || Myself have heard a voice to call him so. || What, art thou lame?",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=1|line=102,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
7039,Henry VI Part 2,2.1.126,"Black, forsooth: coal-black as jet.",train,"Black, forsooth: coal-black as jet.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Red, master, red as blood. || Why, that's well said. What colour is my gown of? || Black, forsooth: coal-black as jet. || Why, then, thou know'st what colour jet is of? || And yet, I think, jet did he never see.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=1|line=126,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
7303,Henry VI Part 2,2.3.78,"Peter, forsooth.",train,"Peter, forsooth.",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Come, leave your drinking, and fall to blows. || Sirrah, what's thy name? || Peter, forsooth. || Peter! what more? || Thump.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=3|line=78,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
7305,Henry VI Part 2,2.3.80,Thump.,train,Thump.,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Peter, forsooth. || Peter! what more? || Thump. || Thump! then see thou thump thy master well. || Masters, I am come hither, as it were, upon my man's",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=3|line=80,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
7426,Henry VI Part 2,2.4.92,"Stanley, I prithee, go, and take me hence,",train,"Stanley, I prithee, go, and take me away,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Death, at whose name I oft have been afear'd, || Because I wish'd this world's eternity. || Stanley, I prithee, go, and take me hence, || I care not whither, for I beg no favour, || Only convey me where thou art commanded.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=2|scene=4|line=92,fallback_mode=true | unresolved_lexicon:prithee | applied=\bhence\b->away:1,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
7555,Henry VI Part 2,3.1.104,Who can accuse me? wherein am I guilty?,train,Who can accuse me? wherein am I guilty?,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"The purest spring is not so free from mud || As I am clear from treason to my sovereign: || Who can accuse me? wherein am I guilty? || 'Tis thought, my lord, that you took bribes of France, || And, being protector, stayed the soldiers' pay,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=1|line=104,fallback_mode=true | unresolved_lexicon:wherein,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:wherein
7577,Henry VI Part 2,3.1.126,"protector,",train,"protector,",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"That England was defamed by tyranny. || Why, 'tis well known that, whiles I was || protector, || Pity was all the fault that was in me, || For I should melt at an offender's tears,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=1|line=126,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
7880,Henry VI Part 2,3.2.30,"Marry, God forfend!",train,"Marry, God forfend!",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Where is our uncle? what's the matter, Suffolk? || Dead in his bed, my lord, Gloucester is dead. || Marry, God forfend! || God's secret judgment: I did dream to-night || The duke was dumb and could not speak a word.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=2|line=30,fallback_mode=true | unresolved_lexicon:marry,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:marry
8038,Henry VI Part 2,3.2.184,"And you, forsooth, had the good duke to keep:",train,"And you, forsooth, had the good duke to keep:",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"And we, I hope, sir, are no murderers. || But both of you were vow'd Duke Humphrey's foes, || And you, forsooth, had the good duke to keep: || 'Tis like you would not feast him like a friend, || And 'tis well seen he found an enemy.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=2|line=184,fallback_mode=true | unresolved_lexicon:forsooth,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:forsooth
8231,Henry VI Part 2,3.2.370,"Wither goes Vaux so fast? what news, I prithee?",train,"Wither goes Vaux so fast? what news, I prithee?",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"I can no more: live thou to joy thy life, || Myself no joy in nought but that thou livest. || Wither goes Vaux so fast? what news, I prithee? || To signify unto his majesty || That Cardinal Beaufort is at point of death,",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=3|scene=2|line=370,fallback_mode=true | unresolved_lexicon:prithee,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,unresolved_lexicon:prithee
8394,Henry VI Part 2,4.1.73,Pole!,train,Pole!,,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"Thou darest not, for thy own. || Yes, Pole. || Pole! || Pool! Sir Pool! lord! || Ay, kennel, puddle, sink, whose filth and dirt",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=73,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
8440,Henry VI Part 2,4.1.119,"Walter,--",train,"Walter,--",,retrieved_paraphrase_guided_original,agent_option_c_fallback,,rejected,2,low,"I go of message from the queen to France, || I charge thee waft me safely cross the Channel. || Walter,-- || Come, Suffolk, I must waft thee to thy death. || Gelidus timor occupat artus it is thee I fear.",https://www.litcharts.com/shakescleare/shakespeare-translations/henry-iv-part-1|act=4|scene=1|line=119,fallback_mode=true | length_outlier,2026-04-07T00:34:37+00:00,dialogue,True,not_applicable_fallback,length_outlier
